Influencer_ID,Image,Post_Number,Following_Number,Follower_Number,Introduction,Menu,Date_Joined,Country
sea,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/275701614_995938851021038_749712668895091286_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=82sq1sSpOTAAX8MZn2K&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_TWwjuoveo7ZTwD4MSbzVWGNtPYkEU0PC6Gz1x2Drarw&oe=634C4B0C&_nc_sid=8fd12b,1366,10,2.9M,"Sea
On a journey to discover the blue seas
#sea
-
HELP END CANNED HUNTING👇
luxurtraveller.co.uk/products/stop-canned-lion-hunting-t-shirt?_pos=10&_sid=766d064f9&_ss=r",,January 2020,Not shared
del.brunolima,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/310357290_665035648181507_191874358462114073_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=lWVQe5JM0mwAX-tMea5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_i3HmyIy6x68Z0DGtzg6hfIxsU7tSyrYVCrlSYLW0pdw&oe=634C5070&_nc_sid=8fd12b,977,1098,2.1M,"DELEGADO BRUNO LIMA
Politician
🇧🇷 𝟲º 𝗗𝗘𝗣. 𝗙𝗘𝗗𝗘𝗥𝗔𝗟 +𝗩𝗢𝗧𝗔𝗗𝗢 𝗗𝗢 𝗕𝗥𝗔𝗦𝗜𝗟 (461.217 votos)
🚔 Delegado de Polícia/SP
🐾 Defensor dos Animais
linktr.ee/DelBrunoLima",Pioneiro;Sancionados;Mandato;Cadeia,January 2015,Brazil
jayprehistoricpets,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/13473332_1072633606150847_1863269776_a.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=aPdIIzhYJoQAX--DALB&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8RTtzGsOxegqYezNv_j7Hhyw2YrX71cfmzG6koZ4ciNA&oe=634B054B&_nc_sid=8fd12b,2757,663,6.2M,"Jay Brewer
Public figure
#LivingTheDream 🙏with the some of coolest animals on earth,life from my point of view sharing mutual ❤️ of animals & people 🐍🐊🐘🐆
linktr.ee/jayprehistoricpets",Dubai/Sharjah;Party;Sydney Australia;Queensland;livingthedream;Mike ? Tyson;virgin radio dub;visit Dubai;Florida Dream;#tbt,July 2012,United States
doggosdoingthings,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/46857017_563205994127729_782535641102548992_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=QPivO6nHkbsAX8o8usU&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT85eCC9zbORGppaEWbGjhWUgYdOECxnooNQcoxk5vgJdw&oe=634C057A&_nc_sid=8fd12b,4181,196,3.1M,"Doggos Doing Things
Rated the #1 Instagram page by every single dog
Partnerships@DoingThingsMedia.com
👇 Submit your doggo videos
doingthings.media/s/doggosdoingthings",Dog Show,November 2015,United States
natureismetal,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/79369500_1494195180742792_1338511692916588544_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=Rv7be_xghO0AX9i5Y_9&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-R8H86XbLLvsP43jDv0bxzUys8MnfPPMe2i5LraKI0Xg&oe=634BEF87&_nc_sid=8fd12b,1401,605,4.2M,"Nature Is Metal
Life Eats Life
linktr.ee/natureismetal",Spotify;Twitter;YouTube;Submissions,January 2017,Germany
outdoorskie,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/47583768_350391212410974_8495839572305903616_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=FYrhe_SNjjYAX8yo0aT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9HULpb_ghXQTmSma8A1cOQh8Vi8mqne7orAADgZQ_XmQ&oe=634B91A4&_nc_sid=8fd12b,990,100,2.8M,"Great Outdoors
Animals/Adventures/Fishing/Hunting
Submit your clips👇 🦉
outdoorskie.com",,October 2018,United States
lagranjadelborrego,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/309803844_670162794478396_3279575457367387375_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=a65as0hosbUAX9hBjd1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9zmMneoUDrDPyero1-8XLbaGvLekEPFXa9PV4ZjqR-Gg&oe=634C5A02&_nc_sid=8fd12b,486,907,1.6M,"Borreguito
BIENVENID@S A MI GRANJA DIGITAL 💚
Granjero 🧑🏻‍🌾 X100PRE
#gallinas #tutoriales #colombiano
Tik Tok 12M ⚡️
vm.tiktok.com/ZMLPg5vDB",Panaca💚;Toño;Empoderadas;Tobías wilson;Lunita,July 2020,Colombia
itsdougthepug,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/297475710_601500781363651_8351975528106007611_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=u26u9vo7VtIAX926Y9E&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8SQqAk3JHPYovtST6SrILm0_HjuUvPmLdKkuCHT5ad4w&oe=634B03C4&_nc_sid=8fd12b,3652,863,3.7M,"Doug The Pug
⭐️ Plays Monchi in Mitchells vs Machines!
🏆🏆 2x People’s Choice Award Winner
🐾 @dougthepugfoundation
📚 NEW BOOK OUT 10/18!
linktr.ee/dougthepug",merch;awards;monchi;celeb friends;claire’s,December 2012,United States
discover.animal,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/277360745_1103596933706296_7150564184991932802_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=hGjjkghpl_cAX-q_nhT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_VrYLpARFIK4x5LGFnXNlyl_Zx3A1QhEv5tXwD4tPMAQ&oe=634C7577&_nc_sid=8fd12b,630,46,2.5M,"Discover Animal
The Home of Animals 🏠🦁
Fighting for animals around the world!
animalvideossubmission.com",Mission 🦁;Partners 🐘;Trips ✈️;Wild Facts;Pick a ❤️,February 2018,Not shared
animalplanet,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/296399787_768333044311782_2887184300970185523_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ng4ZFYaQjmsAX_JDItR&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-6-n5LuIT-cR9tDWGD4V4Y5wFYuLs0s36ElH29TVR5tQ&oe=634BE808&_nc_sid=8fd12b,3644,749,4.8M,"Animal Planet
Keeping the childhood joy and wonder of animals alive.",Amanda;PB pt. 2;PB pt. 1;Puppy Bowl XVII;Puppy Bowl;Irwins;Zoo: SD;Aquarium;Dodo;Vet Life;Evan,May 2013,United States
animals.co,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/12331606_985252671542739_2050697146_a.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=hlPFGIGXoXYAX9dSZw_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9a1sMJ5uGCFgDTUNQh8ZEEwUQcyHBanRt3UkADSHIskg&oe=634ADA4E&_nc_sid=8fd12b,3566,1,5.3M,"Animals
Community
The Best Animal Pictures & Videos
©All rights belong to their respective owners.
Tag @animals.co or #animalsco to be featured!
📧animalspromo@gmail",,September 2014,Not shared
karmagawa,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/42426502_267511487255723_5229338711145054208_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=onnfGi2Q1GEAX9tT_CE&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_meCuoBqktQWhPeBDIBa1hv_qPnUHbX9GK0JZkIB-07g&oe=634BECBD&_nc_sid=8fd12b,1015,599,1.5M,"Karmagawa
Charity Organization
We donate 100% of our merch profits & fundraisers to charity, $7+ million given to 80+ charities so far, join us to make this a better world TOGETHER!
thesatoproject.org/donate",Stop Testing!;Save Wolves;Stop Hunts;End Yulin;End Fur Farms;$1.6 Million!;Belarus;Mauritius;$1 Million;Galápagos;Uighur Muslims;Organs;MERCH,March 2018,United States
thatlittlepuff,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/106634780_2346411425660320_7748787994402310558_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=qsh8EsOks9MAX85om2C&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT828riMrmtm71WptMq3xgX7_Jv7zwYK3Y0fOXqbkyo1nA&oe=634C665F&_nc_sid=8fd12b,816,101,2M,"That Little Puff
Want some collectible figurines?
www.toybeta.com",Drink;Dessert;Popsicle;Deco,July 2020,United States
dontstopmeowing,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/241874401_354499736408904_8511316788799580048_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=TKmkm8-Qu8AAX-kklH1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8yj419osMrIptdyo37jDi4GvU8mE-Lk38RYxszTxWJsQ&oe=634CA345&_nc_sid=8fd12b,892,388,1.7M,"Kareem & Fifi
Pawrents: @fifiandkareem
www.dontstopmeowing.com
Business Inquiries👇
linktr.ee/Dontstopmeowing?fbclid=IwAR357Jod7AraHGu15ZK01lhg3L5h1BMGNcqSmNAjiMKe-Gno9sZRMjIR0z4",.....;.....;.....;.....;.....;.....,May 2020,United States
accionantipoeticachile,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/119044142_359660101732333_493746960870822533_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=nTVzVJ-DnPUAX_dACey&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_5umySDjijQI7An-WrojPs819if3wFKayvYRS2o2NLig&oe=634BEF5B&_nc_sid=8fd12b,30413,703,2.4M,"PICO PAL QUE LEE
▪️PROMOCIONA TU TIENDA ONLINE 👇
▪️ DIRECT
▪️INGRESA A NUESTRA PLAYLIST
open.spotify.com/playlist/0GOC6vyN6AuSh1DKOy3zgT?si=C-8cdS6pQuKXv2CE1_Ab-A&utm_source=copy-link",trip🌌👽;Shit 7;Shit 6;shit5;utilidad pública;Musica Chilena;shit 4;shit 3;shit 2;shit,December 2013,Chile
sonyakisa8,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/84351953_1454994881328737_8185338665443000320_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=Aq-SdwQcKLAAX-PzPO3&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-3PkUzZSpJAkV4q0et1elpmdnR2hQEsewa2fHry9_MiA&oe=634ABC59&_nc_sid=8fd12b,454,246,438K,"Sonya&Kisa
Video creator",CatSpa 💅🏼;Arts love;Telegram;SONYA;👹;GAARA;TV and 📰,,
